Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Nạp tiền,Chrome 129.0.0.0,,,07-10-2024 09:31:50,07-10-2024 09:37:43,5m - 52.582s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Nạp tiền/TC_01_Kiểm tra mở màn hình nạp tiền,Chrome 129.0.0.0,,,07-10-2024 09:31:51,07-10-2024 09:32:24,33.032s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,07-10-2024 09:31:51,07-10-2024 09:32:02,10.754s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,07-10-2024 09:32:02,07-10-2024 09:32:02,0.029s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:02,07-10-2024 09:32:05,2.790s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:05,07-10-2024 09:32:13,7.744s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions Deposit""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:13,07-10-2024 09:32:14,1.633s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,07-10-2024 09:32:14,07-10-2024 09:32:14,0.009s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,07-10-2024 09:32:14,07-10-2024 09:32:17,3.000s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,07-10-2024 09:32:17,07-10-2024 09:32:18,0.066s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,07-10-2024 09:32:18,07-10-2024 09:32:18,0.294s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,07-10-2024 09:32:18,07-10-2024 09:32:18,0.510s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,07-10-2024 09:32:18,07-10-2024 09:32:19,0.607s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,07-10-2024 09:32:19,07-10-2024 09:32:20,0.861s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,07-10-2024 09:32:20,07-10-2024 09:32:20,0.543s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,07-10-2024 09:32:20,07-10-2024 09:32:21,0.653s,PASSED
"Assert.assertEquals(xpath(xpathAccountName)).getText(), username)",Chrome 129.0.0.0,,,07-10-2024 09:32:21,07-10-2024 09:32:22,0.735s,PASSED
xpath(xpathBtnDeposit)).click(),Chrome 129.0.0.0,,,07-10-2024 09:32:22,07-10-2024 09:32:23,1.732s,PASSED
"Assert.assertEquals(xpath(xpathTitle)).getText(), titleText)",Chrome 129.0.0.0,,,07-10-2024 09:32:23,07-10-2024 09:32:24,0.373s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,07-10-2024 09:32:24,07-10-2024 09:32:24,0.025s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Nạp tiền/TC_02_Kiểm tra khi để trống các trường trong màn Nạp tiền,Chrome 129.0.0.0,,,07-10-2024 09:32:24,07-10-2024 09:32:56,32.058s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,07-10-2024 09:32:24,07-10-2024 09:32:35,10.992s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,07-10-2024 09:32:35,07-10-2024 09:32:35,0.003s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:35,07-10-2024 09:32:37,1.541s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 20, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:37,07-10-2024 09:32:39,2.061s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions Deposit""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,07-10-2024 09:32:39,07-10-2024 09:32:41,2.363s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,07-10-2024 09:32:41,07-10-2024 09:32:41,0.003s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,07-10-2024 09:32:41,07-10-2024 09:32:45,3.451s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,07-10-2024 09:32:45,07-10-2024 09:32:45,0.026s,PASSED
xpath(xpathBtnAccount))).click(),Chrome 129.0.0.0,,,07-10-2024 09:32:45,07-10-2024 09:32:45,0.535s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,07-10-2024 09:32:45,07-10-2024 09:32:46,0.619s,PASSED
