Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quản lý dịch vụ merchant,Chrome 129.0.0.0,,,12-10-2024 21:32:09,12-10-2024 21:39:07,6m - 58.464s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_01_Kiểm tra chức năng search,Chrome 129.0.0.0,,,12-10-2024 21:32:09,12-10-2024 21:32:23,13.849s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 21:32:09,12-10-2024 21:32:13,3.921s,PASSED
waitTime = Integer.parseInt(waitSecond),Chrome 129.0.0.0,,,12-10-2024 21:32:13,12-10-2024 21:32:13,0.190s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:13,12-10-2024 21:32:14,1.013s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), waitTime, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:14,12-10-2024 21:32:18,4.138s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:18,12-10-2024 21:32:21,3.118s,PASSED
"verifyElementPresent(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/headerMenu""), 3)",Chrome 129.0.0.0,,,12-10-2024 21:32:21,12-10-2024 21:32:23,1.401s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,12-10-2024 21:32:23,12-10-2024 21:32:23,0.004s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý dịch vụ merchant/TC_02_Kiểm tra chức năng search khi chọn dịch vụ là chi hộ,Chrome 129.0.0.0,,,12-10-2024 21:32:23,12-10-2024 21:32:39,16.335s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,12-10-2024 21:32:23,12-10-2024 21:32:27,4.605s,PASSED
waitTime = Integer.parseInt(waitSecond),Chrome 129.0.0.0,,,12-10-2024 21:32:27,12-10-2024 21:32:27,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:27,12-10-2024 21:32:28,0.946s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), waitTime, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:28,12-10-2024 21:32:32,3.788s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,12-10-2024 21:32:32,12-10-2024 21:32:35,3.039s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,12-10-2024 21:32:35,12-10-2024 21:32:35,0.002s,PASSED
"dropdown = driver.findElement(By.name(""service_type""))",Chrome 129.0.0.0,,,12-10-2024 21:32:35,12-10-2024 21:32:37,1.773s,PASSED
"xpath(""//option[@value='TRANSFER_BANK']"")).click()",Chrome 129.0.0.0,,,12-10-2024 21:32:37,12-10-2024 21:32:37,0.258s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/searchBtn""))",Chrome 129.0.0.0,,,12-10-2024 21:32:37,12-10-2024 21:32:37,0.262s,PASSED
"xpath = ""//label[contains(@for, 'transfer_provider_EPAY')]""",Chrome 129.0.0.0,,,12-10-2024 21:32:37,12-10-2024 21:32:37,0.000s,PASSED
elements = new java.util.ArrayList(),Chrome 129.0.0.0,,,12-10-2024 21:32:37,12-10-2024 21:32:37,0.001s,PASSED
elements = driver.findElements(By.xpath(xpath)),Chrome 129.0.0.0,,,12-10-2024 21:32:37,12-10-2024 21:32:39,1.573s,PASSED
