Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Rút tiền,Chrome 129.0.0.0,,,13-10-2024 23:42:42,13-10-2024 23:51:19,8m - 36.820s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_01_Kiểm tra mở form Rút tiền,Chrome 129.0.0.0,,,13-10-2024 23:42:42,13-10-2024 23:43:05,22.596s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 23:42:42,13-10-2024 23:42:47,4.461s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 23:42:47,13-10-2024 23:42:47,0.004s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:42:47,13-10-2024 23:42:48,1.354s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:42:48,13-10-2024 23:42:56,8.209s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 23:42:56,13-10-2024 23:42:57,0.272s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:42:57,13-10-2024 23:42:57,0.465s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 23:42:57,13-10-2024 23:42:57,0.009s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,13-10-2024 23:42:57,13-10-2024 23:42:57,0.254s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,13-10-2024 23:42:57,13-10-2024 23:42:57,0.044s,PASSED
userCode = wait.until(ExpectedConditions.visibilityOfElementLocated(By.xpath(xpathUserCode))),Chrome 129.0.0.0,,,13-10-2024 23:42:57,13-10-2024 23:43:00,2.875s,PASSED
println(userCode.getText()),Chrome 129.0.0.0,,,13-10-2024 23:43:00,13-10-2024 23:43:00,0.014s,PASSED
accountBtn = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathBtnAccount))),Chrome 129.0.0.0,,,13-10-2024 23:43:00,13-10-2024 23:43:01,0.251s,PASSED
accountBtn.click(),Chrome 129.0.0.0,,,13-10-2024 23:43:01,13-10-2024 23:43:01,0.108s,PASSED
searchTextbox = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathSearchTextbox))),Chrome 129.0.0.0,,,13-10-2024 23:43:01,13-10-2024 23:43:01,0.263s,PASSED
searchTextbox.sendKeys(username),Chrome 129.0.0.0,,,13-10-2024 23:43:01,13-10-2024 23:43:01,0.186s,PASSED
xpath(xpathOption)).click(),Chrome 129.0.0.0,,,13-10-2024 23:43:01,13-10-2024 23:43:01,0.270s,PASSED
xpath(xpathBtnSearch)).click(),Chrome 129.0.0.0,,,13-10-2024 23:43:01,13-10-2024 23:43:02,0.482s,PASSED
"Assert.assertEquals(xpath(xpathAccountName)).getText(), username)",Chrome 129.0.0.0,,,13-10-2024 23:43:02,13-10-2024 23:43:04,2.073s,PASSED
xpath(xpathMoneyOff)).click(),Chrome 129.0.0.0,,,13-10-2024 23:43:04,13-10-2024 23:43:04,0.442s,PASSED
"Assert.assertEquals(xpath(xpathActiveItem)).getText(), ""RÚT TIỀN THÔNG THƯỜNG VÀ CHI NỘI ĐỊA"")",Chrome 129.0.0.0,,,13-10-2024 23:43:04,13-10-2024 23:43:05,0.447s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,13-10-2024 23:43:05,13-10-2024 23:43:05,0.003s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Rút tiền/TC_02_Kiểm tra validate trường thông tin,Chrome 129.0.0.0,,,13-10-2024 23:43:05,13-10-2024 23:43:32,26.779s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,13-10-2024 23:43:05,13-10-2024 23:43:08,3.030s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,13-10-2024 23:43:08,13-10-2024 23:43:08,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:43:08,13-10-2024 23:43:09,0.956s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:43:09,13-10-2024 23:43:14,4.618s,PASSED
"click(findTestObject(""Quản lý tài khoản merchant/menuManagerMerchantAccount""))",Chrome 129.0.0.0,,,13-10-2024 23:43:14,13-10-2024 23:43:14,0.276s,PASSED
"waitForElementVisible(findTestObject(""Quản lý tài khoản merchant/Quản lý dịch vụ merchant/menuManagerMerchantService""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,13-10-2024 23:43:14,13-10-2024 23:43:14,0.458s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), internal.GlobalVariable.waitSecond)",Chrome 129.0.0.0,,,13-10-2024 23:43:14,13-10-2024 23:43:14,0.001s,PASSED
menuManagerUserAccount = wait.until(ExpectedConditions.elementToBeClickable(By.xpath(xpathManagerListAccount))),Chrome 129.0.0.0,,,13-10-2024 23:43:14,13-10-2024 23:43:15,0.250s,PASSED
menuManagerUserAccount.click(),Chrome 129.0.0.0,,,13-10-2024 23:43:15,13-10-2024 23:43:15,0.046s,PASSED
