Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Chuyển tiền,Chrome 129.0.0.0,,,16-10-2024 16:36:32,16-10-2024 16:41:17,4m - 44.860s,ERROR
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_01_Kiểm tra mở form chuyển tiền và đúng tên tài khoản,Chrome 129.0.0.0,,,16-10-2024 16:36:32,16-10-2024 16:37:21,49.213s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 16:36:32,16-10-2024 16:36:40,7.406s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 16:36:40,16-10-2024 16:36:40,0.003s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:36:40,16-10-2024 16:36:41,1.256s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:36:41,16-10-2024 16:36:42,1.536s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:36:42,16-10-2024 16:37:07,24.960s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,16-10-2024 16:37:07,16-10-2024 16:37:07,0.001s,PASSED
xpath(xpathTranfer)).click(),Chrome 129.0.0.0,,,16-10-2024 16:37:07,16-10-2024 16:37:12,4.191s,PASSED
textUser = xpath(xpathTextAccount))).getText(),Chrome 129.0.0.0,,,16-10-2024 16:37:12,16-10-2024 16:37:21,9.786s,PASSED
if (textUser == username),Chrome 129.0.0.0,,,16-10-2024 16:37:21,16-10-2024 16:37:21,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,16-10-2024 16:37:21,16-10-2024 16:37:21,0.001s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_02_Kiểm tra validate khi cùng merchant,Chrome 129.0.0.0,,,16-10-2024 16:37:21,16-10-2024 16:38:04,43.016s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 16:37:21,16-10-2024 16:37:29,7.463s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 16:37:29,16-10-2024 16:37:29,0.001s,PASSED
amount = 100000,Chrome 129.0.0.0,,,16-10-2024 16:37:29,16-10-2024 16:37:29,0.003s,PASSED
amountMax = 9999999999,Chrome 129.0.0.0,,,16-10-2024 16:37:29,16-10-2024 16:37:29,0.002s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:37:29,16-10-2024 16:37:33,4.457s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:37:33,16-10-2024 16:37:38,4.989s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:37:38,16-10-2024 16:38:04,26.033s,ERROR
Start listener action : sampleAfterTestCase,Chrome 129.0.0.0,,,16-10-2024 16:38:04,16-10-2024 16:38:04,0.000s,PASSED
,,,,,,,
Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/Chuyển tiền/TC_03_Kiểm tra validate khi khác merchant,Chrome 129.0.0.0,,,16-10-2024 16:38:04,16-10-2024 16:39:22,1m - 17.130s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 129.0.0.0,,,16-10-2024 16:38:04,16-10-2024 16:38:08,3.800s,PASSED
driver = getWebDriver(),Chrome 129.0.0.0,,,16-10-2024 16:38:08,16-10-2024 16:38:08,0.000s,PASSED
amount = 100000,Chrome 129.0.0.0,,,16-10-2024 16:38:08,16-10-2024 16:38:08,0.001s,PASSED
amountMax = 9999999999,Chrome 129.0.0.0,,,16-10-2024 16:38:08,16-10-2024 16:38:08,0.000s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/LoginCommon""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:38:08,16-10-2024 16:38:09,0.857s,PASSED
"waitForElementVisible(findTestObject(""Trang chủ/userName""), 10, STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:38:09,16-10-2024 16:38:13,4.184s,PASSED
"callTestCase(findTestCase(""Test Cases/Quản lý tài khoản merchant/Quản lý danh sách tài khoản/CustomFunctions.groovy""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,16-10-2024 16:38:13,16-10-2024 16:38:23,9.819s,PASSED
"wait = new org.openqa.selenium.support.ui.WebDriverWait(com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(), 20)",Chrome 129.0.0.0,,,16-10-2024 16:38:23,16-10-2024 16:38:23,0.001s,PASSED
